network,block,treatment,ID,sex,size,exclude,notes
prelim,N/A,twelve,A,Male,1.35,,
prelim,N/A,twelve,B,Male,1.33,,
prelim,N/A,twelve,C,Male,1.33,,
prelim,N/A,twelve,D,Male,1.38,,
prelim,N/A,twelve,E,Male,1.37,,
prelim,N/A,twelve,F,Male,1.37,,
prelim,N/A,twelve,G,Male,1.27,,
prelim,N/A,twelve,H,Male,1.32,,
prelim,N/A,twelve,I,Male,1.37,,
prelim,N/A,twelve,J,Male,1.3,,
prelim,N/A,twelve,K,Male,1.37,,
prelim,N/A,twelve,L,Male,1.35,,
prelim,N/A,twelve,M,Female,1.42,,
prelim,N/A,twelve,N,Female,1.47,,
prelim,N/A,twelve,O,Female,1.47,,
prelim,N/A,twelve,P,Female,1.5,,
prelim,N/A,twelve,Q,Female,1.35,,
prelim,N/A,twelve,R,Female,1.47,,
prelim,N/A,twelve,S,Female,1.35,,
prelim,N/A,twelve,T,Female,1.33,,
prelim,N/A,twelve,U,Female,1.4,,
prelim,N/A,twelve,V,Female,1.42,,
prelim,N/A,twelve,W,Female,1.55,,
prelim,N/A,twelve,X,Female,1.5,,
1,1,twelve,A,Male,1.34,,
1,1,twelve,B,Male,1.34,,
1,1,twelve,C,Male,1.39,,
1,1,twelve,D,Male,1.31,,
1,1,twelve,E,Male,1.33,,
1,1,twelve,F,Male,1.33,,
1,1,twelve,G,Male,1.33,,
1,1,twelve,H,Male,1.2,,
1,1,twelve,I,Male,1.36,,
1,1,twelve,J,Male,1.34,,
1,1,twelve,K,Male,1.31,,
1,1,twelve,L,Male,1.33,,
1,1,twelve,M,Female,1.48,,
1,1,twelve,N,Female,1.41,,
1,1,twelve,O,Female,1.41,,
1,1,twelve,P,Female,1.41,,
1,1,twelve,Q,Female,1.39,yes,died
1,1,twelve,R,Female,1.36,,
1,1,twelve,S,Female,1.39,,
1,1,twelve,T,Female,1.39,,
1,1,twelve,U,Female,1.36,,
1,1,twelve,V,Female,1.34,,
1,1,twelve,W,Female,1.43,,
1,1,twelve,X,Female,1.43,,
2,1,two,A,Male,1.39,,
2,1,two,B,Male,1.44,,
2,1,two,C,Male,1.31,,
2,1,two,D,Male,1.31,,
2,1,two,E,Male,1.34,,
2,1,two,F,Male,1.38,,
2,1,two,G,Male,1.43,,
2,1,two,H,Male,1.31,,
2,1,two,I,Male,1.41,,
2,1,two,J,Male,1.38,,
2,1,two,K,Male,1.36,,
2,1,two,L,Male,1.3,,
2,1,two,M,Female,1.46,,
2,1,two,N,Female,1.43,,
2,1,two,O,Female,1.46,,
2,1,two,P,Female,1.39,,
2,1,two,Q,Female,1.44,,
2,1,two,R,Female,1.41,,
2,1,two,S,Female,1.41,,
2,1,two,T,Female,1.34,,
2,1,two,U,Female,1.51,,
2,1,two,V,Female,1.46,,
2,1,two,W,Female,1.49,,
2,1,two,X,Female,1.41,,
3,2,twelve,A,Male,N/A,yes,died
3,2,twelve,B,Male,1.31,,
3,2,twelve,C,Male,1.39,,
3,2,twelve,D,Male,1.39,,
3,2,twelve,E,Male,1.31,,
3,2,twelve,F,Male,1.38,,
3,2,twelve,G,Male,1.34,,
3,2,twelve,H,Male,1.34,,
3,2,twelve,I,Male,1.36,,
3,2,twelve,J,Male,1.31,,
3,2,twelve,K,Male,1.31,,
3,2,twelve,L,Male,1.34,,
3,2,twelve,M,Female,1.39,,
3,2,twelve,N,Female,1.44,,
3,2,twelve,O,Female,1.38,,
3,2,twelve,P,Female,1.46,,
3,2,twelve,Q,Female,1.44,,
3,2,twelve,R,Female,1.44,,
3,2,twelve,S,Female,1.48,,
3,2,twelve,T,Female,1.38,,
3,2,twelve,U,Female,1.36,,
3,2,twelve,V,Female,1.41,,
3,2,twelve,W,Female,1.38,,
3,2,twelve,X,Female,1.38,,
4,2,two,A,Male,1.38,,
4,2,two,B,Male,1.36,,
4,2,two,C,Male,1.33,,
4,2,two,D,Male,1.44,,
4,2,two,E,Male,1.34,,
4,2,two,F,Male,1.39,,
4,2,two,G,Male,1.44,,
4,2,two,H,Male,1.38,,
4,2,two,I,Male,1.3,,
4,2,two,J,Male,1.38,,
4,2,two,K,Male,1.38,,
4,2,two,L,Male,1.34,,
4,2,two,M,Female,1.41,,
4,2,two,N,Female,1.48,,
4,2,two,O,Female,1.48,,
4,2,two,P,Female,1.43,,
4,2,two,Q,Female,1.46,,
4,2,two,R,Female,1.39,,
4,2,two,S,Female,1.38,,
4,2,two,T,Female,1.41,,
4,2,two,U,Female,1.38,,
4,2,two,V,Female,1.31,,
4,2,two,W,Female,1.49,,
4,2,two,X,Female,1.41,,
5,3,two,A,Male,1.39,,
5,3,two,B,Male,1.28,,
5,3,two,C,Male,1.38,,
5,3,two,D,Male,1.34,,
5,3,two,E,Male,1.34,,
5,3,two,F,Male,1.33,,
5,3,two,G,Male,1.39,,
5,3,two,H,Male,1.36,,
5,3,two,I,Male,1.33,exclude,frequently mounted from left side; paramere looked deformed under microscope
5,3,two,J,Male,1.38,,
5,3,two,K,Male,1.38,,
5,3,two,L,Male,1.31,,
5,3,two,M,Female,1.43,,
5,3,two,N,Female,1.28,,
5,3,two,O,Female,1.44,,
5,3,two,P,Female,1.36,,
5,3,two,Q,Female,1.48,,
5,3,two,R,Female,1.39,,
5,3,two,S,Female,1.52,,
5,3,two,T,Female,1.46,,
5,3,two,U,Female,1.41,,
5,3,two,V,Female,1.46,,
5,3,two,W,Female,1.41,,
5,3,two,X,Female,1.41,,
6,3,twelve,A,Male,1.39,,
6,3,twelve,B,Male,1.31,,
6,3,twelve,C,Male,1.43,,
6,3,twelve,D,Male,1.31,,
6,3,twelve,E,Male,1.25,,
6,3,twelve,F,Male,1.28,,
6,3,twelve,G,Male,1.36,,
6,3,twelve,H,Male,1.41,,
6,3,twelve,I,Male,1.31,,
6,3,twelve,J,Male,1.34,,
6,3,twelve,K,Male,1.33,,
6,3,twelve,L,Male,1.31,,
6,3,twelve,M,Female,1.48,,
6,3,twelve,N,Female,1.38,,
6,3,twelve,O,Female,1.36,,
6,3,twelve,P,Female,1.36,,
6,3,twelve,Q,Female,1.49,,
6,3,twelve,R,Female,1.46,,
6,3,twelve,S,Female,1.39,,
6,3,twelve,T,Female,1.36,,
6,3,twelve,U,Female,1.39,,
6,3,twelve,V,Female,1.46,,
6,3,twelve,W,Female,1.43,,
6,3,twelve,X,Female,1.41,,
